TCM_symptom_id,TCM_symptom_name,Symptom_pinYin,Symptom_definition,Symptom_locus,Symptom_property,Type,Version,Suppress
948,神经衰弱,Shen Jing Shuai Ruo,神经衰弱（neurasthenia）在中国属于神经症的诊断之一。是由于长期处于紧张和压力下，出现精神易兴奋和脑力易疲乏现象，常伴有情绪烦恼、易激惹、睡眠障碍、肌肉紧张性疼痛等；这些症状不能归于脑、躯体疾病及其他精神疾病。症状时轻时重，波动与心理社会因素有关，病程多迁延。近世纪，神经衰弱的概念经历了一系列变迁，随着医生对神经衰弱认识的变化和各种特殊综合征和亚型的分出，在美国和西欧已不作此诊断，CCMD-3工作组的现场测试证明，在我国神经衰弱的诊断也明显减少。,心脑,心神失养,Synonymous terms,"v1,v2",0
949,神经痛,Shen Jing Tong,神经痛是神经科常见症状之一，此种疼痛是指在没有外界刺激的条件下而感到的疼痛，又称为自发痛。自发痛的种类很多，按病变的部位可分为周围神经性痛和中枢神经性痛。病因不明者称为原发性神经痛，有明确病因者称继发性（或症状性）神经痛。病变部位可在神经根、神经丛或神经干。常以病变所涉及的周围神经来命名。其他局部病变刺激末梢感受器引起的局部疼痛和中枢神经系统感觉传导通路病变所致的躯体痛，一般不属于神经痛的范畴。,心脑,元神失养,Ontological terms,"v1,v2",0
950,神经性疼痛,Shen Jing Xing Teng Tong,"神经性疼痛一直是困扰医学界的难题:发病机理不清楚,阿片类药物治疗效果不佳,患者非常痛苦。近年来随着分子生物学和电生理技术的发展，人们已逐渐深入地认识到神经性疼痛的复杂病理机制,并为治疗提供新的思路和方法。",心脑,元神失养,Synonymous terms,"v1,v2",0
951,神经性头痛,Shen Jing Xing Tou Tong,神经性头痛主要是指紧张性头痛、功能性头痛及血管神经性头痛，多由精神紧张、生气引起。主要症状为持续性的头部闷痛、压迫感、沉重感，有的患者自诉为头部有“紧箍”感。大部分患者为两侧头痛，多为两颞侧、后枕部及头顶部或全头部。,心脑,元神失养,Synonymous terms,"v1,v2",0
952,神倦,Shen Juan,自觉精神困倦的表现。,心脑,气虚,Synonymous terms,"v1,v2",0
953,神倦懒言,Shen Juan Lan Yan,,心脑,气虚,Synonymous terms,"v1,v2",0
954,神疲,Shen Pi,自觉精神困倦的表现。,心脑,气虚,Ontological terms,"v1,v2",0
955,神情呆滞,Shen Qing Dai Zhi,,心脑,气虚,Synonymous terms,"v1,v2",0
956,神志不清,Shen Zhi Bu Qing,神志不清（unconsciousness）指神志昏蒙，呼之能应，或时有谵语，失去对事情的判断和处理能力。,心脑,邪热扰心,Synonymous terms,"v1,v2",0
957,神志淡漠,Shen Zhi Dan Mo,一种神志症状，表现为对外界反应迟钝，呼唤无应答，但并非昏迷。,心脑,元神失养,Synonymous terms,"v1,v2",0
958,神志恍惚,Shen Zhi Huang Hu,由于剧烈或持续的精神紧张性刺激直接引起的。其临床表现的主要内容与精神创伤密切相关，并伴有相应的情感体验，容易被人所理解。,心脑,元神失养,Ontological terms,"v1,v2",0
959,神志昏蒙,Shen Zhi Hun Meng,神志昏蒙是指意识模糊，时清时昧，呼之能应，或时有谵语。,心脑,邪热亢盛,Synonymous terms,"v1,v2",0
960,神志昏迷,Shen Zhi Hun Mi,,心脑,邪热亢盛,Synonymous terms,"v1,v2",0
961,神志混乱,Shen Zhi Hun Luan,,心脑,邪热亢盛,Ontological terms,"v1,v2",0
962,肾精不足,Shen Jing Bu Zu,肾精不足为肾精亏虚，发育生殖等功能减退所致的病症。肾精不足多由先天发育不良，禀赋不足，或后天调摄失宜，房事过度，大病久病伤肾等引起。,肾,肾虚,Synonymous terms,"v1,v2",0
963,肾区叩击痛,Shen Qu Kou Ji Tong,患者取站立位、坐位或侧卧位，检查者用左手掌平放于患者的肾区，右手握拳用由轻到中等强度的力量向左手背进行叩击。正常时肾区无叩击痛。当有肾炎、肾盂肾炎、肾结石及肾周围炎时，肾区可有不同程度的叩击痛。,肾,肾虚,Synonymous terms,"v1,v2",0
964,肾区冷痛、,Shen Qu Leng Tong 、,,肾,肾虚,Synonymous terms,"v1,v2",0
965,声带充血,Sheng Dai Chong Xie,,肾,风热犯肺,Synonymous terms,"v1,v2",0
966,声带息肉,Sheng Dai Xi Rou,声带息肉是发生于声带固有层浅层的良性增生性病变，也是一种特殊类型的慢性喉炎。最主要的临床症状为声嘶。通过喉镜检查可以做出临床诊断。治疗方式主要为手术切除治疗。若经治疗好转后，患者仍暴露于用声过度、用声不当、吸烟等危险因素中，则声带息肉可再次出现。术后要继续避免和治疗可能的致病因素。,肾,淤血阻滞,Synonymous terms,"v1,v2",0
967,声带小结,Sheng Dai Xiao Jie,声带小结又称歌唱者小结或教师小结，发生于儿童者称喊叫小结，是一种特殊类型的慢性喉炎，由炎性病变形成。最主要的临床症状为声嘶。通过喉镜检查可以进行临床诊断。治疗包括适当声带休息、纠正发声方法、手术治疗等。,肾,肝气郁滞,Synonymous terms,"v1,v2",0
968,声音嘶哑,Sheng Yin Si Ya,声音嘶哑又称声嘶，是喉部（特别是声带）病变的主要症状，多由喉部病变所致，也可因全身性疾病所引起。声嘶的程度因病变的轻重而异，轻者仅见音调变低、变粗，重者发声嘶哑甚至只能发出耳语声或失音。,肾,肺阴亏虚,Synonymous terms,"v1,v2",0
969,声重,Sheng Zhong,中医学名词，指语声重浊，称为声重，多属外感风寒，以致或湿浊阻滞，肺气不宣，鼻窍不通所致。临床表现有鼻塞、流涕或咳嗽、痰多等症状。,肾,肺气虚,Synonymous terms,"v1,v2",0
970,失眠,Shi Mian,失眠通常指患者对睡眠时间和或质量不满足并影响白天社会功能的一种主观体验，包括入睡困难、时常觉醒及(或)晨醒过早。,心 肾,心火旺盛,Ontological terms,"v1,v2",0
971,失音,Shi Yin,失音（aphonia ）是指神清而声音嘶哑，甚至不能发出声音的症状。祖国医学称“暴喑”。多由风寒或风热火毒等邪犯喉，肾阴虚、肺虚气弱，或神情失调、气机呆滞等所致。常见于喉喑、喉癣、气厥、喉息肉、白喉、子喑等病中。,肺,肺气不利,Ontological terms,"v1,v2",0
972,失语,Shi Yu,失语症是指由于神经中枢病损导致抽象信号思维障碍，而丧失口语、文字的表达和理解能力的临床症候群。失语症不包括由于意识障碍和普通的智力减退造成的语言症状，也不包括听觉、视觉、书写、发音等感觉和运动器官损害引起的语言、阅读和书写障碍。因先天或幼年疾病引致学习困难，造成的语言机能缺陷不属失语症范畴。,肾,,Synonymous terms,"v1,v2",0
973,湿痹拘挛,Shi Bi Ju Luan,,四肢,脾虚湿盛,Ontological terms,"v1,v2",0
974,湿疮,Shi Chuang,湿疮，中医病名。湿疮是一种由多种内外因素引起的过敏性炎症性皮肤病。以多形性皮损，对称分布，易于渗出，自觉瘙痒，反复发作和慢性化为临床特征。本病男女老幼皆可罹患，而以先天禀赋不耐者为多。一般可分为急性、亚急性、慢性三类。本病相当于西医的湿疹。,皮肤,湿热,Ontological terms,"v1,v2",0
975,湿疮脓水浸淫,Shi Chuang Nong Shui Jin Yin,,皮肤,湿热,Ontological terms,"v1,v2",0
976,湿热毒邪聚结肌肤,Shi Re Du Xie Ju Jie Ji Fu,,皮肤,湿热,Synonymous terms,"v1,v2",0
977,湿热下注,Shi Re Xia Zhu,湿热下注是一个中医的术语。中医认为，膀胱系津液之府，湿热蕴结于下焦，下注膀胱，湿热阻于肾与膀胱，导致肾与膀胱气化失常，则水道、小便不利，泄时涩痛，尿赤，尿浑浊，小便频数，淋沥不畅（即尿频、尿急、尿短少、尿痛等尿路刺激症状）。临床可以根据辨证用五淋散、萆解分清饮、黄连解毒汤等等加减治疗。,皮肤,湿热,Synonymous terms,"v1,v2",0
978,湿疹,Shi Zhen,湿疹是由多种内外因素引起的瘙痒剧烈的一种皮肤炎症反应。分急性、亚急性、慢性三期。急性期具渗出倾向，慢性期则浸润、肥厚。有些病人直接表现为慢性湿疹。皮损具有多形性、对称性、瘙痒和易反复发作等特点。,皮肤,湿热,Ontological terms,"v1,v2",0
979,湿疹瘙痒,Shi Zhen Sao Yang,,皮肤,湿热,Ontological terms,"v1,v2",0
980,十二指肠溃疡出血,Shi Er Zhi Chang Kui Yang Chu Xie,,胃,胃热,Synonymous terms,"v1,v2",0
981,石淋,Shi Lin,石淋 ，病名。小便涩痛，尿出砂石。又称砂淋、沙石淋。多因下焦积热，煎熬水液所致。,膀胱,膀胱湿热,Ontological terms,"v1,v2",0
982,石淋涩痛,Shi Lin Se Tong,,膀胱,膀胱湿热,Ontological terms,"v1,v2",0
983,时有隐痛,Shi You Yin Tong,,,肝经失养,Synonymous terms,"v1,v2",0
984,食后腹胀拒按,Shi Hou Fu Zhang Ju An,,脾胃,脾气虚,Synonymous terms,"v1,v2",0
985,食后胀痛,Shi Hou Zhang Tong,,脾胃,脾气虚,Synonymous terms,"v1,v2",0
986,食积,Shi Ji,食积，九积之一。食滞不消，日久成积者。《儒门事亲》卷三：“食积，酸心腹满，大黄、牵牛之类，甚者礞石、巴豆。”《杂病源流犀烛·积聚症瘕痃癖痞源流》：“食积，食物不能消化，成积痞闷也，宜青礞石、鸡内金、枳实、巴豆、香附，方用保和丸，连萝丸、佐脾丸。”《医医偶录》治肚腹胀硬拒按，吞酸嗳腐，不思饮食，用大和中饮。脾虚者，参用六君汤。参见肉积、面积、果菜积等条。,脾胃,饮食停胃,,v1,1
987,食积不消,Shi Ji Bu Xiao,,脾胃,脾虚,,v1,1
988,食积胀满,Shi Ji Zhang Man,,脾胃,脾虚,Ontological terms,"v1,v2",0
989,食乳不化,Shi Ru Bu Hua,,脾胃,脾虚,Synonymous terms,"v1,v2",0
990,食少,Shi Shao,胃接受和容纳食物的功能称作“胃主受纳”，因邪气扰动，胃气不降；或脾胃功能虚弱，出现消化不良、食欲不振，进食后有饱滞之感的症状，称为“胃纳呆滞”，简称胃呆、纳呆、纳少或食少。作为症状可兼见于多种疾病，临床较为多见，如临床表现突出而其他症状不明显，可作为独立疾病诊断。,脾胃,脾虚,Ontological terms,"v1,v2",0
991,食少不化,Shi Shao Bu Hua,,脾胃,脾虚,Synonymous terms,"v1,v2",0
992,食少乏力,Shi Shao Fa Li,,脾胃,脾虚,Ontological terms,"v1,v2",0
993,食少腹胀,Shi Shao Fu Zhang,,脾胃,脾虚,Ontological terms,"v1,v2",0
994,食物积滞,Shi Wu Ji Zhi,,脾胃,脾虚,,v1,1
995,食欲不振,Shi Yu Bu Zhen,食欲不振是指进食的欲望降低。完全的不思进食则称厌食。,脾胃,脾虚,Ontological terms,"v1,v2",0
996,食欲减退,Shi Yu Jian Tui,正常人一般都有良好的食欲，这是判断人全健康的重要标志之一。因此，食欲异常往往表示人体处于病理状态。食欲异常包括食欲减退、食欲亢进及食欲反常三种，其中食欲减退是临床上最常见的症状。,脾胃,脾虚,Synonymous terms,"v1,v2",0
997,食滞,Shi Zhi,内科病证名。即伤食。指饮食停滞胃脘的证候。多由饮食不节，暴饮暴食，或脾胃素弱，运化失健所致。症见胃脘胀闷，甚则疼痛，嗳气吞酸或呕吐酸腐食物，吐后胀痛得减，或矢气便溏，泻下物酸腐臭秽，舌苔厚腻，脉滑。治宜消食导滞，方选保和丸加减。见伤食条。,脾胃,脾虚,Ontological terms,"v1,v2",0
998,食滞不化,Shi Zhi Bu Hua,,脾胃,脾虚,Synonymous terms,"v1,v2",0
999,食滞化热,Shi Zhi Hua Re,,脾胃,脾虚,Synonymous terms,"v1,v2",0
1000,视觉异常,Shi Jue Yi Chang,,肝目,肝经失养,Synonymous terms,"v1,v2",0
1001,视力减退,Shi Li Jian Tui,,肝目,肝肾亏虚,Synonymous terms,"v1,v2",0
1002,视力疲劳,Shi Li Pi Lao,视力疲劳是指从事近距离工作或学习，由于过度使用眼睛而产生的眼睛疲劳。此症常发于从事近距离精密工作、电脑工作，或者在照明条件不佳（光线过亮/过暗）的环境内学习或工作，以及患有近视、远视、老光等屈光不正及身体衰弱的人。,肝目,肝经失养,Synonymous terms,"v1,v2",0
1003,视力下降,Shi Li Xia Jiang,视力下降一般指突然或者逐渐出现的看远物或看近物不清楚。视力是分辨二维物体形状、大小的能力，一般分为中心视力与周边视力。中心视力又分为远视力与近视力，反映了视网膜黄斑中心凹处的视觉敏感度。周边视力一般称为视野。平时所说的视力通常指中心视力，而视野检查是测量周围视力。,肝目,肝经失养,Synonymous terms,"v1,v2",0
1004,视物不清,Shi Wu Bu Qing,,肝目,肝经失养,Synonymous terms,"v1,v2",0
1005,视物昏暗,Shi Wu Hun An,,肝目,肝经失养,Synonymous terms,"v1,v2",0
1006,视物昏花,Shi Wu Hun Hua,视物昏花是一种病症，从中医角度而言，视物昏花属于“肝肾亏损”。过度用眼，使眼部睫状肌痉挛，调节力下降，出现视物昏花，如果双眼睫状肌痉挛程度不一样，还会出现视物重影。另外，在疲劳状态下，眼睛视网膜感光介质缺乏能量，甚至感光介质消耗过度、生成不足，会产生视物昏花、异色感。,肝目,肝经失养,Ontological terms,"v1,v2",0
1007,视物模糊,Shi Wu Mo Hu,视物模糊（blurred vision）可以是缘于多种眼科疾病，如白内障、屈光不正，近视、远视、散光等。也可能是其他全身疾病引起的并发症，或者并非疾病，而是外界干扰导致。治疗视物模糊应查找原发病，针对病因进行治疗。,肝目,肝经失养,Synonymous terms,"v1,v2",0
1008,手臂麻木,Shou Bi Ma Mu,上肢神经卡压：一是拇、食、中指的麻木疼痛，常有夜间麻醒史，醒后活动可好转。严重者可伴有手部肌肉萎缩，影响手的精细动作，这是因为正中神经在腕部受到压迫，即所谓的“腕管综合症”；二是环、小指的麻木疼痛，也可有夜间麻醒史，严重者伴有肌萎缩，环、小指的屈指力下降，影响精细运用。这是因为神经在肘部受到卡压，即所谓的“肘管综合症”手麻木。,四肢,肝风内动,Synonymous terms,"v1,v2",0
1009,手抽搐,Shou Chou Chu,,四肢,阴虚阳亢,Synonymous terms,"v1,v2",0
1010,手拘挛,Shou Ju Luan,,四肢,筋脉失养,Synonymous terms,"v1,v2",0
1011,手麻木,Shou Ma Mu,,四肢,筋脉失养,Ontological terms,"v1,v2",0
1012,手术出血,Shou Zhu Chu Xie,,四肢,脾气虚,Synonymous terms,"v1,v2",0
1013,手心热,Shou Xin Re,手心热，症名。两手掌心有发热感觉。一名掌中热。手三阴经是动、所生病证之一。又为劳倦内伤及五心烦热的症状之一，《内外伤辨惑论》有记载。,四肢,阴虚,Synonymous terms,"v1,v2",0
1014,手肿胀,Shou Zhong Zhang,手肿胀是指从手腕到手指尖部位出现局部或整体体积增大、皮肤张力增高的现象。其原因多样，包括妊娠期水钠潴留等生理性因素，以及风湿免疫疾病、骨关节炎、心功能不全等病理性因素。手肿胀表现为手部皮肤紧绷、发亮，甚至可能伴有疼痛、僵硬和关节功能障碍。若不及时诊治，可能严重影响手部活动能力，并对患者的生活质量造成不利影响。,四肢,脾气虚,Synonymous terms,"v1,v2",0
1015,手足不遂,Shou Zu Bu Sui,,四肢,四肢失养,Ontological terms,"v1,v2",0
1016,手足不温,Shou Zu Bu Wen,,四肢,阳虚,Synonymous terms,"v1,v2",0
1017,手足发凉,Shou Zu Fa Liang,,四肢,阳虚,Synonymous terms,"v1,v2",0
1018,手足麻木症,Shou Zu Ma Mu Zheng,,四肢,四肢失养,Synonymous terms,"v1,v2",0
1019,手足瘈疲,Shou Zu Ji Pi,,四肢,热证,Synonymous terms,"v1,v2",0
1020,暑湿,Shu Shi,暑湿，即暑热挟湿。以胸脘痞闷、心烦、身热、舌苔黄腻为主证。多发生于夏令季节，暑湿俱盛之时，尤以南方为多见。其以发病较急，初起见有身热、头身重病、微汗、口渴、脘痞等暑湿郁遏肌表证候为主要特点。如暑湿困阻中焦，则见壮热烦渴、汗多尿少、 胸脘痞闷，身重困倦；如暑湿弥漫三焦，则见咳嗽、身热面赤、胸脘痞闷、大便稀臭、小便短赤、甚或咯痰带血；如内蕴暑湿而外感风寒，则见头痛身热、恶寒无汗、身体拘急不舒，胸闷心烦，舌苔白腻等。,,,,v1,1
1021,暑邪发热,Shu Xie Fa Re,,,暑热侵袭,Ontological terms,"v1,v2",0
1022,术后疼痛,Zhu Hou Teng Tong,术后疼痛是机体受到手术伤害刺激(组织损伤)后的一种反应，包括生理、心理和行为上的一系列反应。在临床护理工作中，疼痛已成为继体温、脉搏、唿吸、血压4大生命体征之后的第5生命体征，日益受到重视。,,淤血阻滞,,v1,1
1023,双目上吊,Shuang Mu Shang Diao,,肝,肝肾亏虚,Synonymous terms,"v1,v2",0
1024,双乳痛,Shuang Ru Tong,,子宫,肝气郁滞,Synonymous terms,"v1,v2",0
1025,水浆难下,Shui Jiang Nan Xia,,胃,胃气虚,Synonymous terms,"v1,v2",0
1026,水泻,Shui Xie,水泻，病证名。泻下稀水，如水下注。又称水泄、注泄、泄注、注下。多因脾胃虚弱，感寒停湿及热迫肠胃所致。,肾,肾阳虚,Ontological terms,"v1,v2",0
1027,水肿,Shui Zhong,组织间隙过量的体液潴留称为水肿（edema），通常指皮肤及皮下组织液体潴留，体腔内体液增多则称积液。根据分布范围，水肿可表现为局部性或全身性，全身性水肿时往往同时有浆膜腔积液，如腹水、胸腔积液和心包腔积液。全身性水肿主要有心源性水肿、肾源性水肿、肝源性水肿、营养不良性水肿、黏液性水肿、特发性水肿、药源性水肿、老年性水肿等。根据水肿的程度可分为轻、中、重度水肿，轻度水肿仅见于眼睑、眶下软组织，胫骨前、踝部的皮下组织，指压后可见组织轻度凹陷，体重可增加5%左右。中度：全身疏松组织均有可见性水肿，指压后可出现明显的或较深的组织凹陷，平复缓慢。重度：全身组织严重水肿，身体低垂部皮肤紧张发亮，甚至可有液体渗出，有时可伴有胸腔、腹腔、鞘膜腔积液。,肾,肾阳虚,Ontological terms,"v1,v2",0
1028,睡卧不安,Shui Wo Bu An,,心,心火旺,Synonymous terms,"v1,v2",0
1029,思维迟缓,Si Wei Chi Huan,思维迟缓与思维奔逸相反，表现为以抑制性思维占主导的思维形式障碍。患者联想困难、对问题反应迟钝，有时概念停留很长时间，不能顺利地表达出来，言语缓慢、回答问题吞吞吐吐、拖延很久、难以出口，有时再三提问，才能得到回答，见于抑郁症或抑郁状态。,心,元神失养,Synonymous terms,"v1,v2",0
1030,死胎,Si Tai,妊娠20周以后，胎儿在子宫内死亡，称为死胎。由于大约半数的死胎案例妊娠时期根本没有任何征兆显示存在问题，所以多数父母是在完全没意识到的情况下丧失胎儿。,子宫,肝肾亏虚,Ontological terms,"v1,v2",0
1031,四肢不温,Si Zhi Bu Wen,四肢不温指手足发冷，冷至肘部和膝部。,四肢,阳虚,Synonymous terms,"v1,v2",0
1032,四肢乏力,Si Zhi Fa Li,四肢乏力是一种常见的症状，指四肢懈怠，疲乏无力，严重时可能影响正常的运动功能。四肢乏力可能是正常的生理现象，也可能是某些健康问题的表现。中中医学认为，病理性四肢乏力多因气血两虚、暑热伤气或脾虚湿困所致。西医学则认为，多种疾病均可导致此症状，如低血糖症、甲状腺功能减退症、低钾血症等。,四肢,气虚,Synonymous terms,"v1,v2",0
1033,四肢浮肿,Si Zhi Fu Zhong,,四肢,脾虚湿盛,Ontological terms,"v1,v2",0
1034,四肢关节冷痛,Si Zhi Guan Jie Leng Tong,,四肢,阳虚,Synonymous terms,"v1,v2",0
1035,四肢拘挛,Si Zhi Ju Luan,指四肢拘急挛缩，伸展困难的症状。,四肢,肝肾亏虚,Ontological terms,"v1,v2",0
1036,四肢倦怠,Si Zhi Juan Dai,四肢倦怠为症状名。指手足无力，懒于动作。《世医得效方·身疼》：“男子妇人气血劳伤，四肢倦怠，肌体羸瘦，骨节烦疼。”多由脾胃虚弱，不能温润四肢所致。可见于内伤劳倦、脾虚久泻等证。治宜人参黄芪散等方。,四肢,脾气虚,Synonymous terms,"v1,v2",0
1037,四肢倦乏,Si Zhi Juan Fa,,四肢,脾气虚,Ontological terms,"v1,v2",0
1038,四肢厥逆,Si Zhi Jue Ni,,四肢,脾气虚,Synonymous terms,"v1,v2",0
1039,四肢挛急,Si Zhi Luan Ji,,四肢,筋脉失养,Ontological terms,"v1,v2",0
1040,四肢挛痛,Si Zhi Luan Tong,,四肢,筋脉失养,Ontological terms,"v1,v2",0
1041,四肢麻痹,Si Zhi Ma Bi,,四肢,筋脉失养,Ontological terms,"v1,v2",0
1042,四肢麻木,Si Zhi Ma Mu,四肢麻木是人们日常生活中常常会出现的症状，如怀孕、不正确睡姿、如厕蹲久了均可引发，一般会在短时间内消除，不会有什么大问题。健康人手脚麻木，多在长时间处于一种姿势或四肢受压后发生。这类麻木很少超过十分钟，且可迅速消失，也不伴有其他症状。,四肢,筋脉失养,Synonymous terms,"v1,v2",0
1043,四肢逆冷,Si Zhi Ni Leng,即手足发凉冷。又称四逆、手足厥冷。,四肢,阳虚,Synonymous terms,"v1,v2",0
1044,四肢酸,Si Zhi Suan,,四肢,脾气虚,Synonymous terms,"v1,v2",0
1045,四肢酸懒,Si Zhi Suan Lan,,四肢,脾气虚,Synonymous terms,"v1,v2",0
1046,四肢酸痛,Si Zhi Suan Tong,病证名。指四肢肌肉、筋脉有酸楚、疼痛的感觉。多由气血亏损或湿热侵袭经络所致。《金匮要略·血痹虚劳脉证并治》： “虚劳里急，悸，衄，腹中痛，梦失精，四肢酸疼，手足烦热，咽干口燥，小建中汤主之。”《千金要方·风毒脚气》：“若暑月久坐久立湿地者，则热湿之气，蒸于经络，病发必热，四肢酸疼，烦闷。”方用白虎加桂枝汤、犀角汤或二妙散治疗。,四肢,脾气虚,Synonymous terms,"v1,v2",0
1047,四肢疼痛,Si Zhi Teng Tong,四肢疼痛的发生主要是由于机体内正气不足，感受风、寒、湿、热、之邪，闭阻经络，气血运行不畅所致，以四肢的关节、筋骨、肌肉发生酸痛、麻木、重着、屈伸不利，甚至关节肿大灼热为主要临床表现。属于中医学“痹证”的范畴，现代医学相当于风湿性、类风湿性关节炎。,四肢,脾气虚,Ontological terms,"v1,v2",0
1048,四肢无力,Si Zhi Wu Li,,四肢,脾气虚,Ontological terms,"v1,v2",0
1049,嗖痛,Sou Tong,,四肢,肝经湿热,Synonymous terms,"v1,v2",0
1050,溲黄,Sou Huang,溲指大小便，在这里尤指小便;通俗地说，就是小便黄。,肝,肝经湿热,Synonymous terms,"v1,v2",0
1051,胎动不安,Tai Dong Bu An,妊娠期出现腰酸腹痛，胎动下坠，或阴道少量流血者，称为“胎动不安”，又称“胎气不安”。 本病类似于西医学的先兆流产、先兆早产。胎动不安是临床常见的妊娠病之一，经过安胎治疗，腰酸、腹痛消失，出血迅速停止，多能继续妊娠。若因胎元有缺陷而致胎动不安者，胚胎不能成形，故不宜进行保胎治疗。,子宫,肝肾亏虚,Ontological terms,"v1,v2",0
1052,胎漏,Tai Lou,妊娠期间出现的阴道少量出血，时出时止，或淋漓不断，而无腰酸、腹痛、小腹下坠者，称为“胎漏”，亦称“胞漏”或“漏胎”。胎漏多发生在妊娠早期，西医称之为“先兆流产”。,子宫,气虚,Ontological terms,"v1,v2",0
1053,胎漏下血,Tai Lou Xia Xie,,子宫,气虚,Ontological terms,"v1,v2",0
1054,胎盘不下,Tai Pan Bu Xia,,子宫,气虚,Ontological terms,"v1,v2",0
1055,瘫痪,Tan Huan,瘫痪（paralysis）是随意运动功能的减低或丧失，是神经系统常见的症状，是神经、神经肌肉接头或肌肉疾病所致。应针对导致随意运动障碍的原发病进行治疗，同时给予康复治疗。,心,血瘀,Ontological terms,"v1,v2",0
1056,痰白,Tan Bai,,肺,寒证,Synonymous terms,"v1,v2",0
1057,痰白质稀,Tan Bai Zhi Xi,,肺,寒湿,Synonymous terms,"v1,v2",0
1058,痰不易出,Tan Bu Yi Chu,,肺,热证,Synonymous terms,"v1,v2",0
1059,痰稠,Tan Chou,,肺,热证,Ontological terms,"v1,v2",0
1060,痰稠黄,Tan Chou Huang,,肺,热证,Ontological terms,"v1,v2",0
1061,痰稠难出,Tan Chou Nan Chu,,肺,热证,Synonymous terms,"v1,v2",0
1062,痰喘,Tan Chuan,痰喘，中医病症名。指由气管积痰而引起的呼吸不畅、心跳、出汗等症状。,肺,肾气虚,Ontological terms,"v1,v2",0
1063,痰多,Tan Duo,痰多有很多原因：第一，体质虚弱，中气不足，由于脾虚不运，可以使水湿停留，凝聚为痰。第二，脾胃薄弱，宿滞逗留，损伤脾胃；或恣食生食、瓜果，中阳被伤；或因热病饮水过多，脾运不及等等都可以使水湿停留，聚集为痰。还有恣食肥甘，胃中浊气郁蒸，酿湿生热也可以化为痰浊。第三，外感失治，或体弱屡患外感，肺气被伤，不能输津四布，通调水道下输膀胱，使水液停留，也可成痰，痰贮于肺，肺气不利，痰涌气道而发，必致咳嗽痰多。 第四，患有鼻炎，炎症作用下鼻粘膜分泌大量脓性且粘稠度很高的分泌物，经鼻纤毛运送至鼻咽并粘附于鼻咽处，导致咽部异物感，进而通过咳嗽咳出。,肺,肺气虚,Ontological terms,"v1,v2",0
1064,痰多黄稠,Tan Duo Huang Chou,,肺,肺热,Synonymous terms,"v1,v2",0
1065,痰多咳嗽,Tan Duo Ke Sou,,肺,肺气虚,Ontological terms,"v1,v2",0
1066,痰多淸稀,Tan Duo Qing Xi,,肺,肺气虚,Synonymous terms,"v1,v2",0
1067,痰多上气,Tan Duo Shang Qi,,肺,肾气虚,Synonymous terms,"v1,v2",0
1068,痰多作喘,Tan Duo Zuo Chuan,,肺,肾气虚,Synonymous terms,"v1,v2",0
1069,痰核痞块,Tan He Pi Kuai,,肺,肝气郁滞,Ontological terms,"v1,v2",0
1070,痰黄,Tan Huang,痰黄是指痰液呈现黄色，常呈脓性，可伴咳嗽、呼吸困难、发热、寒战等不适症状。痰黄的出现往往意味着呼吸系统存在炎症反应，建议患者及时就医诊治，以免延误病情。,肺,肺热,Ontological terms,"v1,v2",0
1071,痰黄稠,Tan Huang Chou,,肺,肺热,Ontological terms,"v1,v2",0
1072,痰黄稠黏,Tan Huang Chou Nian,,肺,肺热,Synonymous terms,"v1,v2",0
1073,痰黄黏稠,Tan Huang Nian Chou,,肺,肺热,Synonymous terms,"v1,v2",0
1074,痰厥,Tan Jue,中医病症名。指因痰盛气闭而引起四肢厥冷，甚至昏厥的病症。多见于患有慢性支气管炎、支气管哮喘、肺气肿等慢性病的老年患者，有时出现猛烈咳嗽一番后，导致意识短暂丧失，甚至发生晕厥跌倒的现象。中医理论认为这是痰气上逆所致，故称之为“痰厥”。,肺,痰热,Ontological terms,"v1,v2",0
1075,痰厥头痛,Tan Jue Tou Tong,痰厥头痛，病证名。指痰气上逆而致头痛。《古今医鉴》将之归于“厥头痛”范畴。《外台秘要》卷八：“痰厥头痛方：《病源》（指《诸病源候论》）谓，痰水在于胸膈之上，又犯大寒，使阳气不行，令痰气结聚不散，而阴气逆上与风痰相结，上冲于头，即令头痛。或数载不已，久连脑痛。”《张氏医通·诸痛门》：“痰厥头痛，两寸脉滑而弦，眼重头旋，恶心烦乱，吐清水，气短促，心神不安，语言颠倒，目不敢开，如在风露中，头疼如裂，身重如山，胸满呕逆，四肢厥冷，半夏白术天麻汤；有肥白气虚多痰人，卒然头痛，脉沉细，四肢厥逆，痰响吐涎，星香汤加生附子。”参见厥头痛、头痛条。,肺,痰湿,Ontological terms,"v1,v2",0
1076,痰鸣,Tan Ming,,肺,肺气虚,Synonymous terms,"v1,v2",0
1077,痰鸣如吼,Tan Ming Ru Hou,,肺,肺热,Synonymous terms,"v1,v2",0
1078,痰黏,Tan Nian,,肺,肺热,Ontological terms,"v1,v2",0
1079,痰黏稠,Tan Nian Chou,症状名。痰质胶黏浓稠难咯，色白带黄，多属肺热。,肺,肺热,Synonymous terms,"v1,v2",0
1080,痰热,Tan Re,,肺,肺热,,v1,1
1081,痰热喘咳,Tan Re Chuan Ke,,肺,肺热,Ontological terms,"v1,v2",0
